DATA;LOCAL;DOCUMENTO;HISTORICO;VALOR
;;;SALDO ANTERIOR;0
22/04/2026;Desconhecido;00004000 ;PLANO DE TARIFAS;-30,5
22/04/2026;Desconhecido;00000000 ;CREDITO SALARIO;3120,43
14/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-100,23
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-52,25
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-69,84
13/04/2026;Desconhecido;000988001;REC PIX;69,84
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-69,84
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-17,03
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-11,25
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-33,99
13/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-91,82
13/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-300
13/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-1000
10/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-132,26
08/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-23,02
08/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-80
08/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-23,64
08/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-50
06/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-92,91
06/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-4,99
06/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-11
06/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-5
06/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-103,36
06/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-16,86
06/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-90
06/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-48
06/04/2026;Internet Banking;000988001;DEB PIX CHAVE;-200
02/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-489,13
01/04/2026;Internet Banking;000988001;DEBITO PIX QRCODE;-11,98
;;;SALDO DO PERIODO;31,37
